checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
round10	typed_return_pred	subckt_0230	prefix_0320	320	15	__aig_and_46051::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0009999999999843467	0.0009999999999843467	0.0	0	0.5474566082020361	0.7160493827160493	0.26666666666666666
round10	typed_return_pred	subckt_0230	prefix_0448	448	15	__aig_not_23178::observe	observe	__aig_not_33479::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.8416679826779603	0.9012345679012346	0.8666666666666667
round10	typed_return_pred	subckt_0230	prefix_0576	576	15	__buf_split_29770::observe	observe	__aig_and_21604::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.6960508876609139	0.8356164383561644	0.4
round10	typed_return_pred	subckt_0230	prefix_0704	704	15	new_n21684::observe	observe	__aig_not_20202::control0	control0	0	0	0	0.06699999999998374	0.002999999999997449	0.023999999999979593	0.020999999999982144	0	0.30348720965251275	0.6486486486486487	0.3333333333333333
round10	typed_return_pred	subckt_0230	prefix_0767	767	15	__aig_and_25947::observe	observe	__aig_and_25947::observe	observe	1	1	1	0.0	0.0030000000000085514	0.0030000000000085514	0.0	0	0.7010681840159741	0.864406779661017	0.25
round10	typed_return_pred	subckt_0360	prefix_0320	320	15	GT_146_U7::observe	observe	__aig_and_1237::observe	observe	0	1	0	0.10699999999999044	0.03300000000000525	0.13999999999999568	0.10699999999999044	0	0.5305036065106266	0.6823529411764706	0.2631578947368421
round10	typed_return_pred	subckt_0360	prefix_0448	448	15	__aig_and_629::observe	observe	GT_134_U6::control1	control1	0	0	0	0.2569999999999961	0.020999999999993246	0.18199999999999328	0.16100000000000003	0	0.3611346714877573	0.6744186046511628	0.5263157894736842
round10	typed_return_pred	subckt_0360	prefix_0576	576	15	__buf_split_1022::observe	observe	__aig_and_629::observe	observe	0	1	0	0.0	0.01700000000001145	0.01700000000001145	0.0	0	0.6557892373388907	0.8028169014084507	0.5
round10	typed_return_pred	subckt_0360	prefix_0704	704	15	U917::control0	control0	__aig_and_899::control0	control0	0	1	0	0.031999999999987594	-0.023999999999990695	0.007999999999996898	0.031999999999987594	1	-0.12274859413914169	0.43548387096774194	0.16666666666666666
round10	typed_return_pred	subckt_0360	prefix_0767	767	15	__buf_split_664::control0	control0	U751::control0	control0	0	1	0	0.15199999999999658	-0.020999999999993246	0.13100000000000334	0.15199999999999658	1	-0.023073510088207093	0.4931506849315068	0.4117647058823529
r22_e4	typed_return_pred	subckt_0230	prefix_0320	320	15	__aig_and_46051::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0009999999999843467	0.0009999999999843467	0.0	0	0.5474566082020361	0.7160493827160493	0.26666666666666666
r22_e4	typed_return_pred	subckt_0230	prefix_0448	448	15	__aig_not_23178::observe	observe	__aig_not_33479::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.869599442280105	0.9259259259259259	0.8666666666666667
r22_e4	typed_return_pred	subckt_0230	prefix_0576	576	15	__buf_split_29770::observe	observe	__aig_and_21604::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.7095104352123681	0.8356164383561644	0.4
r22_e4	typed_return_pred	subckt_0230	prefix_0704	704	15	new_n21684::observe	observe	__aig_not_20202::control0	control0	0	0	0	0.06699999999998374	0.002999999999997449	0.023999999999979593	0.020999999999982144	0	0.3150120403988107	0.6621621621621622	0.3333333333333333
r22_e4	typed_return_pred	subckt_0230	prefix_0767	767	15	__aig_and_25947::observe	observe	__aig_and_25947::observe	observe	1	1	1	0.0	0.0030000000000085514	0.0030000000000085514	0.0	0	0.7010681840159741	0.864406779661017	0.25
r22_e4	typed_return_pred	subckt_0360	prefix_0320	320	15	GT_146_U7::observe	observe	__aig_and_1237::observe	observe	0	1	0	0.10699999999999044	0.03300000000000525	0.13999999999999568	0.10699999999999044	0	0.5175192525051217	0.6705882352941176	0.2631578947368421
r22_e4	typed_return_pred	subckt_0360	prefix_0448	448	15	__aig_and_629::observe	observe	GT_134_U6::control1	control1	0	0	0	0.2569999999999961	0.020999999999993246	0.18199999999999328	0.16100000000000003	0	0.3611346714877573	0.6744186046511628	0.5263157894736842
r22_e4	typed_return_pred	subckt_0360	prefix_0576	576	15	__buf_split_1022::observe	observe	__aig_and_629::observe	observe	0	1	0	0.0	0.01700000000001145	0.01700000000001145	0.0	0	0.6557892373388907	0.8028169014084507	0.5
r22_e4	typed_return_pred	subckt_0360	prefix_0704	704	15	U917::control0	control0	__aig_and_899::control0	control0	0	1	0	0.031999999999987594	-0.023999999999990695	0.007999999999996898	0.031999999999987594	1	-0.15092040263009224	0.41935483870967744	0.16666666666666666
r22_e4	typed_return_pred	subckt_0360	prefix_0767	767	15	__buf_split_664::control0	control0	U751::control0	control0	0	1	0	0.15199999999999658	-0.020999999999993246	0.13100000000000334	0.15199999999999658	1	-0.023073510088207093	0.4931506849315068	0.4117647058823529
